Year,Week,Home Team,Home Player,Home Player Points,Position,Away Player Points,Away Player,Away Team
2019,4,Klapp,Stefon Diggs,15.8,WR1,7.1,DeAndre Hopkins,Carter
2019,4,Klapp,Ted Ginn Jr.,4.9,WR2,0.0,Nelson Agholor,Carter
2019,4,Klapp,Darren Waller,12.3,TE,9.4,Evan Engram,Carter
2019,4,Klapp,Adrian Peterson,2.8,FLEX,12.6,Tyrell Williams,Carter
2019,4,Klapp,Bears D/ST,16.0,D/ST,23.0,Patriots D/ST,Carter
2019,4,Klapp,Wil Lutz,14.0,K,4.0,Stephen Gostkowski,Carter
2019,4,Nathan,Carson Wentz,19.7,QB,20.68,Jared Goff,Zach
2019,4,Nathan,Austin Ekeler,29.2,RB1,26.5,James Conner,Zach
2019,4,Nathan,Kerryon Johnson,15.7,RB2,8.1,Mark Ingram II,Zach
2019,4,Nathan,Marvin Jones Jr.,10.7,WR1,23.7,Kenny Golladay,Zach
2019,4,Nathan,Julio Jones,9.3,WR2,4.0,Odell Beckham Jr.,Zach
2019,4,Nathan,Mark Andrews,13.1,TE,1.5,Vernon Davis,Zach
2019,4,Nathan,Devonta Freeman,18.0,FLEX,13.8,James White,Zach
2019,4,Nathan,Commanders D/ST,7.0,D/ST,15.0,Seahawks D/ST,Zach
2019,4,Nathan,Zane Gonzalez,2.0,K,9.0,Mason Crosby,Zach
2019,4,Noah,Lamar Jackson,24.48,QB,18.0,Patrick Mahomes,Justin
2019,4,Noah,Alvin Kamara,11.9,RB1,33.9,Christian McCaffrey,Justin
2019,4,Noah,Phillip Lindsay,7.0,RB2,6.3,Sony Michel,Justin
2019,4,Noah,Sterling Shepard,16.9,WR1,7.4,DJ Moore,Justin
2019,4,Noah,Keenan Allen,9.8,WR2,6.2,Calvin Ridley,Justin
2019,4,Noah,Travis Kelce,15.5,TE,2.5,Greg Olsen,Justin
2019,4,Noah,Josh Gordon,7.6,FLEX,6.6,John Ross,Justin
2019,4,Noah,Rams D/ST,0.0,D/ST,12.0,Chargers D/ST,Justin
2019,4,Noah,Ka'imi Fairbairn,3.0,K,13.0,Greg Zuerlein,Justin
2019,5,Carter,Kyler Murray,25.42,QB,12.06,Carson Wentz,Nathan
2019,5,Carter,Jordan Howard,12.2,RB1,22.3,Austin Ekeler,Nathan
2019,5,Carter,David Montgomery,10.6,RB2,18.0,Devonta Freeman,Nathan
2019,5,Carter,DJ Chark,36.4,WR1,7.2,Julio Jones,Nathan
2019,5,Carter,DeAndre Hopkins,15.8,WR2,4.8,Geronimo Allison,Nathan
2019,5,Carter,Evan Engram,10.7,TE,9.5,Mark Andrews,Nathan
2019,5,Carter,Allen Robinson,28.7,FLEX,27.9,Matt Breida,Nathan
2019,5,Carter,Patriots D/ST,15.0,D/ST,0.0,Cardinals D/ST,Nathan
2019,5,Carter,Mike Nugent,9.0,K,13.0,Zane Gonzalez,Nathan
2019,5,Dante,Jameis Winston,17.46,QB,27.26,Teddy Bridgewater,Michael
2019,5,Dante,Chris Carson,19.3,RB1,49.2,Aaron Jones Sr.,Michael
2019,5,Dante,Joe Mixon,11.9,RB2,10.9,Nick Chubb,Michael
2019,5,Dante,Michael Thomas,41.2,WR1,31.5,Chris Godwin Jr.,Michael
2019,5,Dante,Cooper Kupp,26.7,WR2,4.8,Corey Davis,Michael
2019,5,Dante,Zach Ertz,16.7,TE,1.6,Noah Fant,Michael
2019,5,Dante,Emmanuel Sanders,1.9,FLEX,25.0,Julian Edelman,Michael
2019,5,Dante,Eagles D/ST,35.0,D/ST,15.0,Vikings D/ST,Michael
2019,5,Dante,Joey Slye,2.0,K,7.0,Harrison Butker,Michael
2019,5,Ethan,Jacoby Brissett,10.94,QB,29.92,Russell Wilson,Klapp
2019,5,Ethan,Derrick Henry,13.8,RB1,18.7,Todd Gurley II,Klapp
2019,5,Ethan,Damien Williams,6.8,RB2,17.8,Marlon Mack,Klapp
2019,5,Ethan,Larry Fitzgerald,11.8,WR1,7.4,Stefon Diggs,Klapp
2019,5,Ethan,Brandin Cooks,6.6,WR2,4.3,Golden Tate,Klapp
2019,5,Ethan,Delanie Walker,2.0,TE,7.9,Darren Waller,Klapp
2019,5,Ethan,Demarcus Robinson,6.1,FLEX,20.8,George Kittle,Klapp
2019,5,Ethan,Jaguars D/ST,1.0,D/ST,3.0,Bears D/ST,Klapp
2019,5,Ethan,Jake Elliott,7.0,K,7.0,Wil Lutz,Klapp
2019,5,Justin,Patrick Mahomes,18.54,QB,9.42,Aaron Rodgers,Andrew
2019,5,Justin,Christian McCaffrey,47.7,RB1,25.8,Dalvin Cook,Andrew
2019,5,Justin,Sony Michel,21.3,RB2,18.6,David Johnson,Andrew
2019,5,Justin,Calvin Ridley,19.8,WR1,0.0,Mike Evans,Andrew
2019,5,Justin,DJ Moore,15.1,WR2,0.0,Sammy Watkins,Andrew
2019,5,Justin,Greg Olsen,0.0,TE,12.8,Will Dissly,Andrew
2019,5,Justin,Courtland Sutton,19.2,FLEX,14.3,Tyler Lockett,Andrew
2019,5,Justin,Chargers D/ST,12.0,D/ST,8.0,Saints D/ST,Andrew
2019,5,Justin,Greg Zuerlein,11.0,K,13.0,Adam Vinatieri,Andrew
2019,5,McGwire,Deshaun Watson,41.74,QB,11.44,Lamar Jackson,Noah
2019,5,McGwire,Leonard Fournette,23.7,RB1,24.7,Phillip Lindsay,Noah
2019,5,McGwire,Jaylen Samuels,2.46,RB2,16.92,Alvin Kamara,Noah
2019,5,McGwire,Adam Thielen,32.0,WR1,11.2,Alshon Jeffery,Noah
2019,5,McGwire,Hollywood Brown,11.2,WR2,5.8,Keenan Allen,Noah
2019,5,McGwire,Jordan Akins,3.1,TE,11.0,Travis Kelce,Noah
2019,5,McGwire,Cole Beasley,5.1,FLEX,7.8,Melvin Gordon III,Noah
2019,5,McGwire,Bills D/ST,12.0,D/ST,-1.0,Rams D/ST,Noah
2019,5,McGwire,Justin Tucker,16.0,K,13.0,Ka'imi Fairbairn,Noah
2019,5,Zach,Jared Goff,17.9,QB,23.22,Dak Prescott,Haris
2019,5,Zach,Mark Ingram II,12.9,RB1,17.1,Ezekiel Elliott,Haris
2019,5,Zach,James Conner,11.5,RB2,15.8,Le'Veon Bell,Haris
2019,5,Zach,Robert Woods,9.8,WR1,39.6,Amari Cooper,Haris
2019,5,Zach,Odell Beckham Jr.,5.0,WR2,11.5,Jarvis Landry,Haris
2019,5,Zach,Jimmy Graham,7.1,TE,13.6,Austin Hooper,Haris
